cid,duration,campaign,pdays,previous,poutcome
1118,78,5,292,3,failure
1123,114,7,287,3,failure
1130,160,2,360,3,failure
1155,225,1,364,1,failure
1160,175,1,293,5,failure
1177,506,2,170,3,failure
1194,329,1,322,1,failure
1195,24,1,346,1,failure
1196,177,5,138,1,failure
1206,731,1,193,3,failure
1210,72,6,274,4,failure
1211,241,1,364,1,failure
1213,207,8,98,1,failure
1226,136,1,359,1,failure
1241,97,1,370,1,failure
1243,135,2,370,2,failure
1280,883,1,674,4,failure
1310,424,1,138,1,failure
1312,177,2,211,3,failure
1313,712,1,64,12,failure
1321,376,2,339,7,failure
1324,29,1,356,2,failure
1325,209,1,191,4,failure
1328,41,2,300,5,failure
1338,144,2,124,1,failure
1346,503,2,280,2,failure
1347,186,1,327,2,failure
1350,883,1,140,1,failure
1383,209,1,321,1,failure
1387,397,2,337,1,failure
1388,113,4,479,1,failure
1399,136,1,262,3,failure
1445,323,2,368,2,failure
1458,305,1,182,3,failure
1469,537,5,303,2,failure
1479,137,1,122,3,failure
1483,502,1,7,2,failure
1511,483,1,116,1,failure
1519,60,1,343,4,failure
1522,217,3,327,1,failure
1536,182,2,169,2,failure
1542,65,1,131,1,failure
1548,85,7,196,3,failure
1549,362,1,287,13,failure
1580,540,2,115,3,failure
1592,125,2,182,1,failure
1601,486,2,181,2,failure
1626,15,1,316,1,failure
1629,224,2,180,1,failure
1634,98,1,154,6,failure
1635,97,1,169,3,failure
1636,72,2,370,1,failure
1637,109,1,87,2,failure
1651,244,3,313,1,failure
1667,159,2,350,2,failure
1677,249,2,169,1,failure
1699,258,1,73,1,failure
1704,134,1,266,7,failure
1714,90,2,232,1,failure
1720,1032,3,141,7,failure
1730,317,1,180,2,failure
1749,223,1,182,2,failure
1751,541,1,204,3,failure
1765,202,1,87,2,failure
1768,415,4,375,1,failure
1787,102,1,333,2,failure
1806,172,3,186,1,failure
1811,10,9,344,1,failure
1828,163,2,113,3,failure
1831,231,2,259,1,failure
1849,551,1,183,1,failure
1869,159,1,343,2,failure
1872,89,1,344,1,failure
1876,203,1,183,2,failure
1883,445,2,345,2,failure
1885,144,5,248,2,failure
1887,691,2,180,5,failure
1911,155,1,177,7,failure
1913,1366,1,150,1,failure
1929,332,1,183,3,failure
1934,152,3,221,1,failure
1952,93,1,189,8,failure
1954,118,4,104,7,failure
1957,513,2,89,7,failure
1971,381,1,247,2,failure
1984,146,2,171,3,failure
1990,482,3,120,2,failure
2001,161,1,337,1,failure
2003,100,1,182,1,failure
2005,406,1,317,1,failure
2006,361,1,364,1,failure
2014,1126,1,335,1,failure
2016,228,2,182,6,failure
2020,51,2,342,3,failure
2033,500,4,358,2,failure
2051,198,2,170,2,failure
2063,422,1,363,1,failure
2069,968,1,87,5,failure
2070,156,1,273,3,failure
2076,112,1,78,1,failure
2105,330,1,342,1,failure
2124,225,2,275,2,failure
2132,326,5,179,4,failure
2152,347,1,284,2,failure
2160,253,1,92,4,failure
2182,125,1,368,4,failure
2186,207,1,351,2,failure
2197,27,1,84,3,failure
2213,485,2,227,4,failure
2214,184,1,91,2,failure
2221,732,2,291,5,failure
2236,80,1,152,1,failure
2243,162,1,173,3,failure
2250,148,1,871,2,failure
2256,81,3,170,1,failure
2264,197,2,370,3,failure
2272,191,1,294,1,failure
2294,184,1,167,6,failure
2303,153,1,371,2,failure
2307,100,1,435,1,failure
2319,304,1,340,1,failure
2336,31,1,363,2,failure
2346,206,5,239,3,failure
2360,15,10,207,3,failure
2380,203,2,334,2,failure
2397,202,1,83,5,failure
2406,105,2,172,1,failure
2430,104,1,196,1,failure
2431,189,2,111,4,failure
2432,250,4,415,2,failure
2434,427,1,182,2,failure
2439,517,1,255,1,failure
2445,287,2,415,1,failure
2447,284,2,371,1,failure
2448,89,4,235,2,failure
2461,291,1,244,4,failure
2475,164,2,179,3,failure
2479,72,2,363,4,failure
2487,464,1,683,6,failure
2525,93,3,329,7,failure
2530,125,1,111,3,failure
2537,52,2,227,1,failure
2556,158,1,59,2,failure
2557,515,1,350,5,failure
2561,143,3,357,1,failure
2564,85,1,151,1,failure
2597,145,2,260,4,failure
2599,217,1,221,1,failure
2614,123,3,99,8,failure
2616,232,4,253,1,failure
2641,157,2,351,5,failure
2654,1472,1,192,4,failure
2660,139,2,350,1,failure
2671,239,2,259,2,failure
2674,58,1,136,1,failure
2692,102,2,178,5,failure
2702,155,2,363,4,failure
2715,973,1,366,1,failure
2720,442,1,266,8,failure
2729,443,1,350,1,failure
2746,566,2,356,4,failure
2750,221,1,241,1,failure
2760,182,1,90,8,failure
2765,149,1,364,2,failure
2777,154,1,388,1,failure
2833,26,2,197,1,failure
2847,143,1,370,2,failure
2850,380,4,295,1,failure
2852,796,1,109,1,failure
2860,169,1,346,1,failure
2901,119,1,99,3,failure
2915,127,2,258,4,failure
2919,87,1,120,1,failure
2924,146,1,281,1,failure
2925,451,1,169,2,failure
2935,105,1,336,2,failure
2950,116,2,169,3,failure
2952,38,2,369,4,failure
2957,314,2,124,1,failure
2962,87,4,357,4,failure
2964,344,1,295,1,failure
2969,1529,1,397,1,failure
2972,390,1,316,1,failure
2978,160,3,120,3,failure
2989,223,1,414,4,failure
2991,214,1,349,1,failure
3008,222,1,154,1,failure
3023,340,2,175,1,failure
3024,183,1,91,11,failure
3026,208,1,247,2,failure
3034,698,2,292,1,failure
3041,161,1,209,2,failure
3042,110,1,315,2,failure
3044,58,2,334,1,failure
3059,75,2,177,5,failure
3061,91,2,275,1,failure
3065,257,1,474,3,failure
3072,154,2,197,6,failure
3093,105,4,366,2,failure
3095,484,1,135,3,failure
3101,203,3,93,1,failure
3116,48,1,181,3,failure
3120,72,1,261,1,failure
3133,125,1,249,2,failure
3142,1579,1,246,4,failure
3146,183,1,338,2,failure
3158,865,2,190,1,failure
3160,219,7,133,1,failure
3173,147,2,298,3,failure
3206,341,4,94,3,failure
3232,44,1,355,3,failure
3236,276,1,195,1,failure
3240,267,1,474,1,failure
3264,169,1,231,2,failure
3279,207,2,153,1,failure
3296,429,1,201,1,failure
3300,17,3,169,2,failure
3305,671,1,181,3,failure
3315,428,2,336,6,failure
3316,249,2,335,2,failure
3318,267,2,114,2,failure
3333,8,6,267,4,failure
3336,12,8,342,9,failure
3344,541,1,295,6,failure
3347,96,1,111,3,failure
3351,69,1,185,2,failure
3366,543,3,321,6,failure
3369,22,4,114,1,failure
3372,77,3,185,7,failure
3378,123,1,186,4,failure
3380,1022,1,360,2,failure
3383,119,2,280,2,failure
3409,5,3,150,6,failure
3413,262,2,352,2,failure
3430,220,1,190,1,failure
3435,107,4,371,3,failure
3447,280,1,75,1,failure
3463,46,1,182,2,failure
3472,142,3,259,17,failure
3482,332,1,183,1,failure
3485,98,1,167,2,failure
3494,172,1,93,1,failure
3519,61,2,181,4,failure
3521,213,1,264,6,failure
3528,130,1,161,1,failure
3535,104,1,312,1,failure
3544,122,3,357,4,failure
3549,123,2,364,1,failure
3575,141,1,188,1,failure
3585,309,3,355,4,failure
3608,338,3,185,2,failure
3625,107,1,148,4,failure
3634,109,1,246,1,failure
3642,528,1,358,2,failure
3655,102,1,85,1,failure
3657,156,2,127,8,failure
3666,582,2,283,4,failure
3670,98,1,266,3,failure
3675,561,4,369,3,failure
3683,66,1,363,22,failure
3690,234,7,330,1,failure
3691,639,1,189,1,failure
3698,67,1,368,2,failure
3704,216,4,271,5,failure
3725,199,1,173,2,failure
3732,143,1,154,3,failure
3747,130,2,160,1,failure
3751,220,7,450,2,failure
3757,238,3,340,2,failure
3766,169,1,183,1,failure
3776,181,2,500,1,failure
3795,680,1,95,1,failure
3816,96,2,349,5,failure
3817,213,1,178,1,failure
3829,100,3,201,2,failure
3832,29,3,152,1,failure
3835,136,1,120,1,failure
3845,454,2,364,3,failure
3849,190,1,84,1,failure
3851,143,4,272,1,failure
3870,237,2,91,1,failure
3884,180,1,106,2,failure
3885,47,1,120,1,failure
3923,264,1,317,1,failure
3924,75,1,190,6,failure
3952,270,1,123,2,failure
3953,165,2,363,1,failure
3973,197,2,244,3,failure
3982,68,1,363,1,failure
3986,58,3,347,5,failure
3999,157,2,172,1,failure
4001,56,1,359,1,failure
4006,146,1,272,2,failure
4020,539,8,204,5,failure
4031,580,1,173,1,failure
4037,153,2,183,2,failure
4039,208,1,93,2,failure
4043,284,1,339,1,failure
4045,16,9,309,1,failure
4050,7,8,185,1,failure
4055,253,1,107,5,failure
4066,149,2,182,1,failure
4067,240,3,107,4,failure
4071,106,2,183,2,failure
4074,8,1,687,2,failure
4077,208,1,140,1,failure
4081,173,6,353,23,failure
4084,384,1,182,5,failure
4097,207,1,363,2,failure
4101,28,1,345,1,failure
4127,302,1,356,3,failure
4142,129,4,107,2,failure
4151,196,1,87,4,failure
4170,150,1,360,1,failure
4192,224,3,74,4,failure
4197,830,1,352,2,failure
4202,153,1,183,1,failure
4203,106,2,167,1,failure
4207,52,1,152,6,failure
4208,223,1,76,4,failure
4214,670,2,286,6,failure
4252,171,1,183,1,failure
4262,294,2,309,2,failure
4273,116,2,253,1,failure
4277,41,1,184,7,failure
4282,411,1,182,1,failure
4285,472,1,148,2,failure
4291,318,4,317,3,failure
4313,404,6,340,1,failure
4315,356,2,286,3,failure
4320,252,3,183,1,failure
4325,157,1,299,3,failure
4338,434,1,57,1,failure
4344,79,1,370,1,failure
4348,159,2,195,2,failure
4364,291,4,331,1,failure
4373,266,1,167,2,failure
4388,252,1,168,4,failure
4397,239,1,368,2,failure
4398,7,7,367,25,failure
4414,622,1,182,1,failure
4421,215,6,188,2,failure
4424,310,1,804,1,failure
4435,219,1,246,1,failure
4436,475,4,166,2,failure
4454,340,1,183,2,failure
4457,610,2,138,1,failure
4464,58,1,122,4,failure
4474,137,1,272,2,failure
4486,238,2,361,5,failure
4490,131,5,356,3,failure
4493,346,1,234,3,failure
4505,951,3,370,4,failure
4515,45,4,153,1,failure
7,341,1,330,2,other
20,148,1,152,1,other
47,59,3,5,2,other
54,441,1,56,1,other
77,367,2,297,1,other
149,194,4,436,1,other
173,272,1,335,4,other
188,96,1,271,2,other
213,10,2,373,1,other
228,210,1,242,1,other
230,112,1,62,6,other
237,124,1,308,2,other
246,60,1,250,1,other
332,215,3,321,3,other
370,1065,1,183,1,other
391,505,2,260,1,other
438,16,5,322,4,other
519,159,1,367,2,other
520,336,1,81,2,other
552,187,3,332,3,other
579,19,3,175,2,other
661,190,1,133,1,other
664,854,2,170,3,other
676,239,4,278,2,other
725,240,1,182,8,other
726,385,3,364,9,other
743,154,1,124,1,other
801,510,2,2,5,other
809,80,2,268,2,other
815,57,1,247,1,other
820,113,1,337,2,other
823,138,1,136,8,other
824,1015,1,198,2,other
829,66,1,241,1,other
838,667,3,357,3,other
850,345,1,94,3,other
875,167,1,174,7,other
907,193,2,322,1,other
957,106,1,110,2,other
1031,140,1,2,3,other
1043,121,6,112,3,other
1072,57,5,349,1,other
1077,104,1,99,2,other
1097,141,1,346,2,other
1109,50,1,113,5,other
1112,344,2,182,8,other
1137,177,2,174,1,other
1164,52,4,91,1,other
1224,56,1,103,2,other
1227,82,3,363,2,other
1263,112,2,330,3,other
1276,313,1,349,3,other
1277,252,9,185,5,other
1344,91,1,100,2,other
1356,217,1,184,7,other
1380,293,1,90,4,other
1381,16,6,176,5,other
1392,329,1,95,1,other
1406,24,2,362,1,other
1412,1174,1,345,4,other
1425,101,5,3,6,other
1427,57,11,366,1,other
1472,283,1,288,12,other
1521,198,2,88,1,other
1525,611,2,175,12,other
1539,265,1,127,4,other
1572,232,2,365,5,other
1576,173,1,299,2,other
1583,107,1,167,1,other
1622,9,5,174,12,other
1659,147,2,264,4,other
1698,171,2,193,2,other
1708,66,1,85,5,other
1750,38,1,335,1,other
1763,310,2,96,2,other
1818,130,1,323,1,other
1821,64,3,150,5,other
1834,226,1,363,3,other
1857,72,1,363,2,other
1864,908,3,344,7,other
1867,165,3,101,1,other
1871,102,2,210,2,other
1905,294,2,105,7,other
1916,226,1,92,1,other
1979,526,4,258,3,other
2038,436,2,178,3,other
2068,238,3,126,4,other
2089,145,2,164,1,other
2097,52,3,172,3,other
2122,12,3,374,1,other
2144,289,2,174,4,other
2167,195,3,112,8,other
2216,156,1,147,7,other
2278,167,1,298,10,other
2295,47,2,222,3,other
2326,95,1,327,9,other
2333,470,7,426,3,other
2366,411,1,173,2,other
2437,467,2,88,4,other
2472,449,2,38,10,other
2526,143,1,2,3,other
2541,316,3,99,9,other
2621,246,1,343,1,other
2655,293,1,181,2,other
2679,100,1,104,1,other
2693,521,3,158,7,other
2697,103,2,95,1,other
2709,199,2,274,3,other
2785,164,2,167,4,other
2797,80,2,165,2,other
2813,94,7,130,3,other
2819,652,1,370,4,other
2820,612,2,348,3,other
2827,877,7,300,2,other
2838,1258,2,122,2,other
2861,103,2,484,2,other
2880,605,1,187,1,other
2881,164,1,110,2,other
2905,491,1,326,1,other
2916,144,1,102,1,other
3005,224,7,105,1,other
3009,612,1,344,1,other
3022,487,2,367,2,other
3036,223,2,186,3,other
3049,11,5,319,2,other
3067,470,1,150,5,other
3135,14,7,112,4,other
3149,288,1,137,1,other
3168,141,8,297,2,other
3182,178,7,365,5,other
3233,70,4,7,7,other
3237,257,2,146,9,other
3261,8,5,350,3,other
3267,154,5,176,1,other
3273,20,6,175,15,other
3288,16,6,368,1,other
3298,474,3,95,3,other
3299,578,1,364,1,other
3302,239,3,761,1,other
3304,101,1,362,5,other
3375,342,3,332,1,other
3381,123,1,360,3,other
3395,268,1,261,5,other
3408,267,4,270,3,other
3420,255,2,2,4,other
3427,363,1,173,24,other
3434,188,1,161,2,other
3440,114,6,467,5,other
3464,978,2,189,1,other
3484,364,1,355,1,other
3488,59,3,367,1,other
3503,798,1,185,5,other
3524,71,1,223,9,other
3529,201,1,345,1,other
3531,70,5,85,5,other
3570,218,3,161,9,other
3577,203,2,2,3,other
3589,273,1,91,1,other
3613,198,2,358,5,other
3627,153,1,309,3,other
3653,30,1,357,1,other
3659,280,6,92,5,other
3702,272,1,102,8,other
3706,130,1,172,2,other
3711,203,1,78,8,other
3744,519,1,166,1,other
3756,515,1,150,1,other
3771,36,6,90,2,other
3798,270,3,241,4,other
3819,959,3,174,7,other
3852,77,1,2,2,other
3890,805,1,190,1,other
3930,94,5,145,3,other
3931,417,1,365,9,other
3933,600,4,332,4,other
3944,1010,3,326,1,other
3977,20,6,291,2,other
4054,332,1,297,2,other
4056,200,2,159,3,other
4072,73,3,256,3,other
4090,648,1,272,1,other
4107,124,1,273,1,other
4108,309,2,224,1,other
4131,72,2,361,1,other
4153,126,3,127,7,other
4176,146,3,224,1,other
4263,815,1,87,1,other
4333,458,2,349,1,other
4341,577,1,368,1,other
4363,220,2,219,2,other
4369,33,3,175,2,other
4429,212,1,249,2,other
4448,1516,2,353,2,other
4466,297,4,144,4,other
4489,130,1,2,1,other
4520,129,4,211,3,other
4521,345,2,249,7,other
50,181,1,92,1,success
71,268,2,182,3,success
99,473,1,182,1,success
111,258,6,169,3,success
157,324,3,90,2,success
187,377,3,7,4,success
200,185,1,181,2,success
201,301,1,88,2,success
234,768,2,91,5,success
290,120,3,1,6,success
324,178,1,1,1,success
329,1370,3,209,3,success
339,201,1,183,1,success
348,328,2,94,2,success
398,60,5,87,1,success
465,185,1,99,5,success
478,421,1,92,2,success
493,295,1,91,2,success
541,250,2,181,4,success
556,682,2,85,7,success
603,146,2,147,4,success
620,222,3,182,4,success
658,117,1,91,1,success
659,253,1,342,1,success
685,347,3,140,2,success
856,336,2,183,2,success
881,457,1,80,1,success
942,262,1,99,2,success
985,222,4,94,2,success
1049,330,2,127,3,success
1057,250,2,187,2,success
1061,389,1,64,2,success
1084,250,2,182,1,success
1125,238,1,107,2,success
1167,319,1,182,1,success
1168,13,1,373,6,success
1174,945,1,139,1,success
1182,152,1,182,6,success
1187,327,2,183,3,success
1217,245,3,97,7,success
1304,230,1,92,1,success
1343,653,1,334,2,success
1375,78,2,176,1,success
1422,79,1,225,2,success
1426,157,3,97,2,success
1438,847,1,60,1,success
1443,146,3,190,3,success
1470,415,1,89,1,success
1486,328,2,183,4,success
1562,74,1,152,1,success
1604,646,3,198,2,success
1654,388,3,181,1,success
1696,574,1,84,3,success
1737,221,1,461,1,success
1755,328,2,143,2,success
1761,524,1,96,5,success
1780,638,1,175,3,success
1863,412,1,169,1,success
1906,910,2,184,4,success
1953,300,6,182,2,success
1981,405,1,305,1,success
2050,309,1,91,10,success
2056,378,2,386,1,success
2071,681,1,118,11,success
2104,30,1,404,2,success
2123,517,1,282,4,success
2177,199,1,92,14,success
2189,137,1,97,1,success
2252,185,1,92,1,success
2267,180,2,238,3,success
2373,707,2,97,2,success
2381,158,1,167,1,success
2450,321,3,189,4,success
2540,167,1,92,1,success
2584,134,5,204,2,success
2666,198,1,98,6,success
2676,504,1,92,1,success
2700,318,2,338,1,success
2712,384,1,99,4,success
2848,232,1,96,4,success
2918,261,1,184,6,success
2970,236,1,104,1,success
2993,171,2,96,5,success
3006,190,1,188,9,success
3028,147,1,96,8,success
3089,252,1,184,3,success
3177,360,1,181,5,success
3203,326,2,272,2,success
3244,190,1,82,1,success
3251,269,3,541,3,success
3257,213,3,182,6,success
3271,96,2,109,4,success
3282,239,2,349,3,success
3332,282,2,385,1,success
3371,208,1,105,2,success
3386,260,3,95,3,success
3499,495,1,93,1,success
3520,159,2,106,6,success
3587,261,1,98,1,success
3590,349,2,183,1,success
3594,119,1,195,8,success
3645,1139,2,114,1,success
3685,633,1,85,2,success
3696,297,1,86,3,success
3715,277,1,271,2,success
3752,79,2,94,2,success
3800,158,1,182,1,success
3836,110,2,64,2,success
3844,670,4,340,2,success
3875,87,1,91,2,success
3891,623,1,293,1,success
3897,330,1,311,4,success
3932,567,1,95,3,success
3979,216,1,91,4,success
4010,255,3,148,1,success
4094,417,1,184,4,success
4160,493,1,181,14,success
4161,585,1,192,2,success
4187,145,3,94,4,success
4216,404,1,182,1,success
4217,317,6,192,1,success
4225,225,1,90,1,success
4230,216,1,183,4,success
4233,1173,3,278,6,success
4310,88,2,173,1,success
4324,664,1,77,3,success
4434,474,1,256,1,success
4459,314,1,195,1,success
4460,508,1,315,11,success
1,79,1,-1,0,unknown
4,199,4,-1,0,unknown
5,226,1,-1,0,unknown
8,151,2,-1,0,unknown
9,57,2,-1,0,unknown
11,273,1,-1,0,unknown
12,113,2,-1,0,unknown
13,328,2,-1,0,unknown
14,261,1,-1,0,unknown
16,189,2,-1,0,unknown
17,239,5,-1,0,unknown
19,250,1,-1,0,unknown
21,96,2,-1,0,unknown
22,140,3,-1,0,unknown
23,109,2,-1,0,unknown
24,125,2,-1,0,unknown
25,169,3,-1,0,unknown
26,182,2,-1,0,unknown
27,247,1,-1,0,unknown
29,149,2,-1,0,unknown
30,74,2,-1,0,unknown
31,897,2,-1,0,unknown
32,81,3,-1,0,unknown
33,40,1,-1,0,unknown
34,958,6,-1,0,unknown
35,354,3,-1,0,unknown
36,150,1,-1,0,unknown
37,97,1,-1,0,unknown
38,132,1,-1,0,unknown
40,16,18,-1,0,unknown
42,106,2,-1,0,unknown
43,365,1,-1,0,unknown
44,205,3,-1,0,unknown
45,11,4,-1,0,unknown
46,105,2,-1,0,unknown
48,425,1,-1,0,unknown
49,204,1,-1,0,unknown
51,1018,3,-1,0,unknown
52,1740,2,-1,0,unknown
53,98,2,-1,0,unknown
55,272,3,-1,0,unknown
56,159,2,-1,0,unknown
57,140,1,-1,0,unknown
58,295,1,-1,0,unknown
59,314,1,-1,0,unknown
60,579,1,-1,0,unknown
61,554,3,-1,0,unknown
62,323,1,-1,0,unknown
63,227,2,-1,0,unknown
64,134,2,-1,0,unknown
65,223,1,-1,0,unknown
67,155,1,-1,0,unknown
68,130,4,-1,0,unknown
69,630,3,-1,0,unknown
70,164,2,-1,0,unknown
72,380,1,-1,0,unknown
73,154,2,-1,0,unknown
74,154,5,-1,0,unknown
75,221,1,-1,0,unknown
76,67,2,-1,0,unknown
78,87,6,-1,0,unknown
79,701,1,-1,0,unknown
81,652,1,-1,0,unknown
82,63,2,-1,0,unknown
83,150,1,-1,0,unknown
85,224,1,-1,0,unknown
86,406,2,-1,0,unknown
87,60,4,-1,0,unknown
88,521,2,-1,0,unknown
89,279,1,-1,0,unknown
90,203,2,-1,0,unknown
91,201,2,-1,0,unknown
92,372,3,-1,0,unknown
93,391,1,-1,0,unknown
94,165,2,-1,0,unknown
95,231,5,-1,0,unknown
96,291,2,-1,0,unknown
97,149,2,-1,0,unknown
100,736,1,-1,0,unknown
101,337,1,-1,0,unknown
103,345,2,-1,0,unknown
104,65,2,-1,0,unknown
105,9,1,-1,0,unknown
107,371,3,-1,0,unknown
108,280,2,-1,0,unknown
109,243,1,-1,0,unknown
110,435,3,-1,0,unknown
112,7,5,-1,0,unknown
113,317,5,-1,0,unknown
115,170,4,-1,0,unknown
116,386,2,-1,0,unknown
117,83,2,-1,0,unknown
118,65,1,-1,0,unknown
119,69,1,-1,0,unknown
120,564,2,-1,0,unknown
121,588,1,-1,0,unknown
122,113,4,-1,0,unknown
123,16,1,-1,0,unknown
124,779,2,-1,0,unknown
126,1877,3,-1,0,unknown
127,51,1,-1,0,unknown
128,32,3,-1,0,unknown
130,161,1,-1,0,unknown
131,187,3,-1,0,unknown
132,24,1,-1,0,unknown
133,67,3,-1,0,unknown
135,317,2,-1,0,unknown
136,236,10,-1,0,unknown
138,71,1,-1,0,unknown
139,489,1,-1,0,unknown
140,39,2,-1,0,unknown
141,204,2,-1,0,unknown
142,455,2,-1,0,unknown
143,86,1,-1,0,unknown
144,190,2,-1,0,unknown
145,280,2,-1,0,unknown
146,588,2,-1,0,unknown
147,45,9,-1,0,unknown
148,168,5,-1,0,unknown
150,103,3,-1,0,unknown
151,333,2,-1,0,unknown
152,102,3,-1,0,unknown
153,92,1,-1,0,unknown
154,213,2,-1,0,unknown
155,289,1,-1,0,unknown
156,77,2,-1,0,unknown
159,168,1,-1,0,unknown
160,380,1,-1,0,unknown
161,10,1,-1,0,unknown
162,199,2,-1,0,unknown
163,35,3,-1,0,unknown
164,82,2,-1,0,unknown
166,455,1,-1,0,unknown
167,80,4,-1,0,unknown
168,549,2,-1,0,unknown
169,135,1,-1,0,unknown
170,412,1,-1,0,unknown
171,101,3,-1,0,unknown
172,253,2,-1,0,unknown
174,84,1,-1,0,unknown
175,135,2,-1,0,unknown
176,166,1,-1,0,unknown
177,18,7,-1,0,unknown
179,63,1,-1,0,unknown
181,194,2,-1,0,unknown
182,333,2,-1,0,unknown
183,14,5,-1,0,unknown
184,140,1,-1,0,unknown
185,109,3,-1,0,unknown
186,61,2,-1,0,unknown
190,382,2,-1,0,unknown
191,97,6,-1,0,unknown
192,543,12,-1,0,unknown
193,240,2,-1,0,unknown
194,48,2,-1,0,unknown
195,471,2,-1,0,unknown
196,354,3,-1,0,unknown
197,435,2,-1,0,unknown
198,152,2,-1,0,unknown
199,285,1,-1,0,unknown
202,273,2,-1,0,unknown
205,403,1,-1,0,unknown
206,139,2,-1,0,unknown
207,196,1,-1,0,unknown
210,17,14,-1,0,unknown
211,141,3,-1,0,unknown
212,95,3,-1,0,unknown
214,198,1,-1,0,unknown
215,220,4,-1,0,unknown
216,654,2,-1,0,unknown
217,71,2,-1,0,unknown
219,834,10,-1,0,unknown
220,151,3,-1,0,unknown
221,20,3,-1,0,unknown
222,178,5,-1,0,unknown
223,59,2,-1,0,unknown
224,111,7,-1,0,unknown
225,186,1,-1,0,unknown
226,227,1,-1,0,unknown
227,297,3,-1,0,unknown
229,9,1,-1,0,unknown
231,112,6,-1,0,unknown
232,222,3,-1,0,unknown
235,123,1,-1,0,unknown
236,145,3,-1,0,unknown
238,216,3,-1,0,unknown
239,69,3,-1,0,unknown
240,168,4,-1,0,unknown
241,483,7,-1,0,unknown
242,690,3,-1,0,unknown
243,125,12,-1,0,unknown
244,344,2,-1,0,unknown
245,673,2,-1,0,unknown
247,247,2,-1,0,unknown
248,123,2,-1,0,unknown
249,144,2,-1,0,unknown
251,155,3,-1,0,unknown
252,134,5,-1,0,unknown
253,221,2,-1,0,unknown
255,71,2,-1,0,unknown
256,246,4,-1,0,unknown
