cid,age,job,marital,education,default,balance,housing,loan
211,36,technician,single,secondary,no,9149,yes,no
212,25,blue-collar,single,secondary,no,-350,yes,no
213,38,technician,married,tertiary,no,432,yes,no
214,57,self-employed,married,secondary,no,11494,no,no
215,31,management,married,tertiary,yes,-253,no,no
216,42,management,married,tertiary,no,372,yes,no
217,45,technician,married,secondary,no,1410,no,no
218,30,blue-collar,married,secondary,no,975,yes,no
219,49,blue-collar,married,primary,no,305,yes,yes
220,49,services,married,secondary,no,400,no,no
221,53,retired,married,tertiary,no,-22,yes,no
222,37,technician,married,secondary,no,4030,yes,no
223,49,blue-collar,married,primary,no,365,no,no
224,41,self-employed,married,primary,no,204,no,no
225,54,management,married,primary,no,1691,yes,no
226,32,services,single,secondary,no,406,yes,no
227,33,technician,married,secondary,no,-204,no,no
228,33,technician,married,secondary,no,359,yes,no
229,36,blue-collar,married,primary,no,123,yes,no
230,35,technician,married,tertiary,no,0,yes,yes
231,52,unknown,married,secondary,no,142,no,no
232,40,entrepreneur,married,tertiary,no,3571,no,no
233,44,technician,single,secondary,no,33,yes,no
234,45,blue-collar,single,secondary,no,0,yes,no
235,30,student,single,secondary,no,3096,no,no
236,48,technician,divorced,secondary,yes,20,no,no
237,33,blue-collar,married,secondary,no,3576,yes,no
238,57,technician,married,unknown,no,206,yes,no
239,57,housemaid,married,primary,no,7082,no,no
240,51,unemployed,married,tertiary,no,1634,yes,no
241,34,admin.,single,secondary,no,1,yes,no
242,50,self-employed,married,tertiary,no,4012,no,no
243,44,management,married,tertiary,no,3762,no,no
244,27,admin.,married,secondary,no,-247,yes,yes
245,50,blue-collar,married,secondary,no,606,yes,no
246,36,management,married,tertiary,no,0,yes,no
247,42,management,married,secondary,no,-189,yes,no
248,32,unemployed,single,secondary,no,0,no,no
249,42,management,married,tertiary,no,484,yes,no
250,43,technician,married,secondary,no,0,no,yes
251,31,management,married,tertiary,no,395,yes,no
252,32,management,married,tertiary,no,2349,no,no
253,55,blue-collar,divorced,primary,no,410,no,yes
254,58,retired,married,primary,no,3401,yes,no
255,46,blue-collar,married,primary,no,222,no,no
256,55,blue-collar,married,secondary,no,989,yes,yes
257,34,management,married,tertiary,no,415,no,yes
258,28,unemployed,single,secondary,no,16,no,no
259,42,technician,divorced,tertiary,no,7190,yes,no
260,29,blue-collar,single,secondary,no,482,no,yes
261,54,housemaid,married,secondary,no,209,yes,yes
262,32,technician,single,secondary,no,0,no,no
263,39,technician,single,tertiary,no,5803,no,no
264,53,entrepreneur,married,tertiary,no,624,no,yes
265,58,technician,married,tertiary,no,883,no,no
266,40,self-employed,married,secondary,no,1516,yes,yes
267,29,student,single,secondary,no,872,yes,no
268,33,technician,married,tertiary,no,-988,yes,yes
269,38,admin.,single,secondary,no,902,yes,no
270,56,services,divorced,secondary,no,1007,no,no
271,40,services,married,secondary,no,0,yes,no
272,24,blue-collar,single,secondary,no,174,yes,yes
273,46,management,married,secondary,no,12186,no,no
274,35,self-employed,married,secondary,no,524,yes,no
275,35,blue-collar,single,tertiary,no,0,yes,no
276,34,technician,married,secondary,no,4,yes,no
277,35,housemaid,married,tertiary,no,11219,no,no
278,38,technician,single,tertiary,no,0,no,no
279,50,blue-collar,married,primary,no,5776,no,no
280,51,blue-collar,divorced,primary,no,37,yes,no
281,59,self-employed,married,tertiary,no,593,no,no
282,32,blue-collar,married,secondary,no,1148,yes,no
283,37,blue-collar,single,secondary,no,3561,yes,no
284,42,admin.,divorced,secondary,no,63,no,no
285,40,student,married,secondary,no,260,no,no
286,28,technician,single,tertiary,no,2269,yes,no
287,47,admin.,married,secondary,no,1060,yes,no
288,27,self-employed,married,secondary,no,-220,yes,no
289,41,management,married,tertiary,no,49,yes,no
290,34,admin.,married,tertiary,no,69,no,yes
291,50,blue-collar,married,primary,no,4108,yes,no
292,47,blue-collar,married,secondary,no,480,yes,no
293,53,services,married,secondary,no,4994,no,no
294,53,technician,divorced,secondary,no,0,yes,yes
295,47,management,married,tertiary,no,3681,no,no
296,49,entrepreneur,divorced,unknown,yes,-701,yes,no
297,29,management,married,tertiary,no,451,no,no
298,45,blue-collar,divorced,primary,no,-311,yes,no
299,38,entrepreneur,married,secondary,no,593,yes,yes
300,32,blue-collar,married,secondary,no,759,yes,no
301,70,retired,divorced,primary,no,4531,no,no
302,65,retired,divorced,primary,no,1840,no,no
303,56,blue-collar,married,secondary,no,345,yes,no
304,35,blue-collar,married,secondary,no,1287,yes,no
305,56,management,married,unknown,no,353,no,yes
306,56,technician,married,secondary,no,205,no,yes
307,49,entrepreneur,married,secondary,no,687,yes,no
308,38,unemployed,married,primary,no,1147,yes,yes
309,35,management,married,tertiary,no,4286,yes,no
310,38,admin.,married,tertiary,no,605,no,no
311,49,blue-collar,married,secondary,no,8545,yes,yes
312,55,management,married,unknown,no,559,no,no
313,43,blue-collar,single,primary,no,2,yes,no
314,43,management,married,tertiary,no,2,no,yes
315,25,admin.,single,tertiary,no,760,yes,no
316,30,blue-collar,married,primary,no,1317,yes,no
317,46,blue-collar,married,secondary,no,182,no,no
318,50,admin.,married,primary,no,276,no,yes
319,35,entrepreneur,married,secondary,no,2971,no,no
320,26,unemployed,single,secondary,no,1064,no,no
321,45,admin.,married,unknown,no,1783,no,no
322,37,blue-collar,married,secondary,no,-67,no,no
323,60,self-employed,single,tertiary,no,179,no,yes
324,38,management,married,tertiary,no,1199,no,no
325,47,blue-collar,married,primary,no,214,yes,yes
326,33,technician,married,secondary,no,6699,no,no
327,51,unemployed,married,secondary,no,1760,no,yes
328,35,entrepreneur,single,tertiary,no,145,yes,no
329,35,unemployed,married,secondary,no,978,no,no
330,48,admin.,single,secondary,no,1150,yes,no
331,37,admin.,married,secondary,no,121,no,no
332,29,technician,single,tertiary,no,828,yes,no
333,34,admin.,married,secondary,no,244,yes,no
334,32,services,married,primary,no,228,yes,no
335,30,management,single,tertiary,no,424,no,no
336,47,management,divorced,tertiary,no,447,no,yes
337,33,blue-collar,married,primary,no,-195,no,no
338,33,management,single,tertiary,no,1410,yes,no
339,63,retired,married,primary,no,1084,no,no
340,51,self-employed,divorced,primary,no,10924,no,no
341,41,management,married,tertiary,no,832,yes,yes
342,56,retired,married,tertiary,no,478,no,no
343,60,management,single,tertiary,no,0,no,yes
344,41,self-employed,single,tertiary,no,3950,yes,no
345,37,management,single,unknown,no,504,yes,no
346,36,blue-collar,single,secondary,no,219,yes,yes
347,57,management,married,tertiary,no,1602,no,no
348,55,management,married,primary,no,2587,no,no
349,44,admin.,married,secondary,no,0,yes,yes
350,47,self-employed,married,tertiary,no,2303,yes,no
351,31,blue-collar,married,secondary,no,1660,yes,no
352,35,management,married,tertiary,yes,32,yes,no
353,39,management,married,tertiary,no,278,no,yes
354,50,management,married,tertiary,no,4,no,no
355,29,management,married,tertiary,no,318,yes,no
356,30,services,single,secondary,no,209,yes,no
357,46,services,married,secondary,no,271,yes,no
358,27,management,single,unknown,no,3196,no,no
359,48,admin.,divorced,secondary,no,4099,no,no
360,26,student,single,secondary,no,2572,yes,no
361,36,management,single,tertiary,no,339,no,no
362,42,blue-collar,married,primary,no,0,yes,yes
363,50,housemaid,married,primary,no,395,yes,no
364,49,blue-collar,married,secondary,no,2039,yes,no
365,45,management,married,tertiary,no,5450,no,no
366,23,student,single,secondary,no,780,no,no
367,38,technician,single,secondary,no,0,yes,no
368,32,management,single,tertiary,no,8436,yes,no
369,60,technician,single,primary,no,11262,no,no
370,30,entrepreneur,married,secondary,no,946,yes,no
371,58,housemaid,married,tertiary,no,497,no,no
372,60,retired,married,primary,no,55,no,no
373,38,services,married,secondary,no,-140,no,no
374,51,technician,married,secondary,no,-379,yes,no
375,42,admin.,married,secondary,no,-396,yes,no
376,30,services,single,secondary,no,0,yes,no
377,40,management,married,primary,no,733,yes,no
378,37,management,married,tertiary,no,393,yes,no
379,53,technician,divorced,primary,no,7290,yes,no
380,27,services,single,secondary,no,468,yes,no
381,39,blue-collar,married,secondary,no,0,yes,no
382,39,blue-collar,married,primary,no,3705,yes,no
383,59,retired,married,tertiary,no,9676,no,no
384,37,services,married,secondary,no,1328,yes,no
385,41,blue-collar,married,primary,no,8,yes,no
386,45,blue-collar,married,primary,no,61,no,no
387,48,management,married,tertiary,no,6613,no,no
388,48,technician,married,secondary,no,302,yes,no
389,32,blue-collar,married,secondary,no,1005,no,no
390,35,services,married,secondary,no,109,yes,no
391,33,management,single,tertiary,no,1240,yes,no
392,28,blue-collar,single,primary,no,0,yes,yes
393,64,retired,married,unknown,no,2923,no,no
394,35,technician,married,secondary,no,0,no,no
395,33,blue-collar,married,secondary,no,43,yes,no
396,41,technician,married,secondary,no,288,yes,no
397,34,admin.,married,secondary,no,613,yes,no
398,37,technician,single,tertiary,no,6101,no,no
399,38,blue-collar,married,primary,no,168,yes,yes
400,39,blue-collar,married,primary,no,7685,yes,no
401,35,technician,divorced,tertiary,no,4515,yes,no
402,28,blue-collar,single,secondary,no,517,no,yes
403,27,blue-collar,single,secondary,no,148,no,no
404,48,retired,married,primary,yes,-285,no,yes
405,50,blue-collar,married,secondary,no,887,no,no
406,45,self-employed,married,secondary,no,3098,yes,no
407,41,technician,married,tertiary,no,744,yes,no
408,39,technician,married,secondary,no,130,no,no
409,44,management,married,secondary,no,438,yes,no
410,54,admin.,married,secondary,no,0,no,no
411,49,management,married,tertiary,no,322,no,no
412,34,blue-collar,single,secondary,no,186,no,no
413,75,retired,divorced,tertiary,no,3810,yes,no
414,42,management,married,tertiary,no,0,no,no
415,53,blue-collar,married,secondary,no,4380,no,no
416,49,management,divorced,tertiary,no,755,no,no
417,31,services,single,secondary,no,2070,no,no
418,45,blue-collar,single,primary,no,999,no,no
419,39,self-employed,married,secondary,no,167,yes,yes
420,46,technician,married,secondary,no,1322,yes,yes
421,42,admin.,divorced,secondary,no,1076,yes,no
422,37,management,married,tertiary,no,502,yes,no
423,26,technician,single,tertiary,no,1216,yes,no
424,37,management,single,tertiary,no,876,yes,no
425,36,services,single,secondary,no,342,yes,no
426,29,blue-collar,single,primary,no,950,yes,no
427,36,blue-collar,married,primary,no,973,yes,yes
428,26,technician,married,tertiary,no,3825,yes,no
429,32,blue-collar,married,secondary,no,2366,yes,no
430,40,management,married,tertiary,no,542,yes,no
431,53,management,married,primary,no,995,no,no
432,29,management,married,tertiary,no,20,yes,no
433,34,technician,single,tertiary,no,228,yes,no
434,43,blue-collar,married,secondary,no,130,no,no
435,56,management,married,tertiary,no,217,no,yes
436,55,entrepreneur,divorced,tertiary,no,0,no,no
437,31,self-employed,married,tertiary,no,259,yes,no
438,27,admin.,single,secondary,no,619,yes,no
439,36,management,married,secondary,no,644,yes,no
440,44,management,married,tertiary,no,22,yes,no
441,37,admin.,divorced,tertiary,no,4303,yes,no
442,30,admin.,single,secondary,no,239,yes,no
443,42,technician,single,secondary,no,275,no,no
444,30,management,married,tertiary,no,1221,yes,no
445,62,retired,married,secondary,no,816,no,no
446,24,blue-collar,married,secondary,no,1222,yes,no
447,31,technician,married,secondary,no,2363,yes,no
448,66,retired,married,tertiary,no,2262,no,no
449,47,admin.,married,secondary,no,2,no,no
450,39,entrepreneur,married,tertiary,no,2,yes,no
451,35,technician,married,secondary,no,4508,yes,no
452,35,admin.,divorced,secondary,no,-402,yes,no
453,27,technician,married,secondary,no,1577,yes,yes
454,32,blue-collar,married,secondary,no,34,yes,no
455,44,management,married,tertiary,no,795,no,no
456,42,blue-collar,married,secondary,no,117,yes,no
457,34,self-employed,single,tertiary,no,5462,no,no
458,25,services,single,secondary,no,402,no,yes
459,40,technician,single,secondary,no,641,no,no
460,43,management,divorced,tertiary,no,36,no,no
461,55,unemployed,married,tertiary,no,383,no,no
462,50,blue-collar,married,secondary,no,283,yes,no
463,45,management,divorced,tertiary,no,0,no,no
464,35,blue-collar,divorced,secondary,no,3102,yes,no
465,32,blue-collar,married,secondary,no,889,yes,no
466,59,housemaid,married,secondary,no,0,no,no
467,34,self-employed,married,secondary,no,-370,yes,no
468,39,management,married,tertiary,no,-606,yes,no
469,40,management,single,secondary,no,10378,yes,no
470,36,blue-collar,single,primary,no,1313,yes,no
471,40,management,married,tertiary,no,8969,yes,no
472,55,self-employed,married,secondary,no,-196,yes,no
473,38,entrepreneur,married,secondary,yes,15,yes,no
474,61,admin.,married,secondary,no,4608,no,no
475,41,management,married,tertiary,no,666,yes,no
476,57,blue-collar,married,primary,no,452,yes,no
477,48,blue-collar,married,secondary,no,149,yes,no
478,77,retired,married,tertiary,no,7802,no,no
479,35,services,married,secondary,no,1453,yes,no
480,54,blue-collar,married,secondary,no,1480,yes,no
481,37,management,single,unknown,no,715,yes,no
482,56,management,single,secondary,no,237,yes,no
483,40,technician,married,secondary,no,694,yes,no
484,40,management,married,tertiary,no,0,no,no
485,54,management,married,tertiary,no,55,yes,no
486,55,housemaid,married,primary,no,136,yes,no
487,55,services,divorced,secondary,yes,-404,yes,no
488,52,blue-collar,married,primary,no,779,yes,no
489,55,blue-collar,single,primary,no,1187,yes,no
490,33,management,married,tertiary,no,641,yes,no
491,52,blue-collar,married,unknown,no,826,yes,no
492,33,services,divorced,secondary,no,991,yes,no
493,53,admin.,married,secondary,no,1796,no,no
494,46,admin.,married,secondary,no,22,no,no
495,44,technician,single,secondary,no,244,yes,no
496,48,management,divorced,tertiary,no,1328,yes,no
497,50,housemaid,married,secondary,no,7317,yes,no
498,34,technician,single,secondary,no,4943,yes,yes
499,38,technician,single,secondary,no,258,no,yes
500,42,management,single,tertiary,no,515,yes,no
501,32,management,single,tertiary,no,12607,no,no
502,58,admin.,married,secondary,no,2,yes,yes
503,31,management,married,tertiary,no,13,no,no
504,19,student,single,primary,no,103,no,no
505,41,management,married,tertiary,no,3872,no,no
506,31,unemployed,married,secondary,no,296,yes,no
507,52,self-employed,single,primary,no,217,no,yes
508,42,self-employed,divorced,tertiary,no,360,yes,no
509,41,blue-collar,single,secondary,no,428,yes,no
510,30,blue-collar,single,secondary,no,315,no,no
511,38,blue-collar,married,secondary,no,121,yes,yes
512,32,management,married,tertiary,no,820,yes,no
513,52,technician,married,secondary,no,195,yes,no
514,48,management,divorced,tertiary,no,108,yes,no
515,36,management,married,tertiary,no,-381,yes,no
516,45,unemployed,divorced,primary,no,757,no,no
517,34,technician,married,tertiary,no,691,yes,yes
518,36,blue-collar,married,primary,no,1925,yes,no
519,34,management,married,tertiary,no,902,yes,no
520,61,retired,married,secondary,no,5207,no,no
521,54,services,married,secondary,no,0,no,no
522,50,entrepreneur,married,secondary,no,665,no,no
523,43,admin.,divorced,secondary,no,738,yes,no
524,47,blue-collar,married,primary,no,233,no,no
525,45,services,married,secondary,no,-839,yes,no
526,57,retired,married,primary,no,5799,no,no
527,27,admin.,married,secondary,no,1033,yes,no
528,49,unemployed,divorced,secondary,no,66,no,no
529,43,services,married,primary,no,2567,yes,no
530,40,management,married,tertiary,no,1584,yes,no
531,32,services,single,secondary,no,182,yes,no
532,58,management,married,primary,no,76,yes,no
533,34,admin.,single,secondary,no,663,yes,no
534,46,technician,divorced,secondary,no,3455,yes,no
535,29,blue-collar,married,secondary,no,15,no,no
536,52,blue-collar,married,primary,no,1054,no,no
537,45,management,married,tertiary,no,1529,no,no
538,26,management,single,secondary,no,63,no,no
539,40,technician,married,tertiary,no,0,no,no
540,41,admin.,married,secondary,no,920,yes,yes
541,47,admin.,single,secondary,no,3696,no,no
542,27,technician,single,unknown,no,59,no,no
543,27,services,married,secondary,no,0,yes,no
544,48,blue-collar,married,secondary,no,157,yes,no
545,49,admin.,married,secondary,no,2465,no,no
546,35,blue-collar,married,primary,no,0,yes,no
547,47,self-employed,married,secondary,yes,2,no,no
548,54,management,married,tertiary,no,0,no,no
549,39,management,single,tertiary,no,12437,no,no
550,28,student,single,secondary,no,378,yes,no
551,54,blue-collar,married,primary,no,211,no,no
552,34,technician,married,secondary,no,-228,yes,no
553,63,retired,married,secondary,no,2747,no,no
554,42,self-employed,married,tertiary,no,1932,yes,no
555,43,technician,single,secondary,no,11269,no,no
556,37,admin.,married,secondary,no,1314,yes,no
557,55,blue-collar,married,primary,no,2275,no,no
558,43,management,single,tertiary,no,1304,no,no
559,41,blue-collar,married,secondary,yes,720,no,yes
560,47,technician,divorced,secondary,no,2914,yes,no
561,34,technician,married,secondary,no,1464,yes,no
562,28,student,single,secondary,no,11555,no,no
563,36,services,married,secondary,no,-302,yes,no
564,50,technician,married,secondary,no,2497,yes,no
565,35,blue-collar,married,secondary,no,-339,yes,no
566,40,technician,married,secondary,no,56,yes,yes
567,26,self-employed,single,tertiary,no,211,no,no
568,36,management,divorced,tertiary,no,3611,yes,no
569,59,unemployed,married,primary,no,0,no,no
570,28,student,single,secondary,no,459,no,no
571,46,entrepreneur,married,unknown,no,242,yes,no
572,50,self-employed,married,secondary,no,1138,no,no
573,53,management,married,tertiary,no,1319,yes,no
574,81,retired,married,secondary,no,1,no,no
575,35,services,divorced,secondary,no,67,yes,no
576,58,retired,married,unknown,no,937,no,no
577,44,services,married,secondary,no,0,yes,yes
578,38,management,married,tertiary,no,-558,yes,no
579,49,blue-collar,married,secondary,no,171,no,no
580,33,technician,single,tertiary,no,696,no,yes
581,29,management,married,tertiary,no,361,yes,yes
582,28,technician,single,secondary,no,227,no,no
583,31,admin.,married,secondary,no,236,yes,yes
584,33,management,single,tertiary,no,-53,no,no
585,52,technician,married,secondary,no,192,yes,no
586,43,management,divorced,tertiary,no,38,yes,no
587,32,self-employed,single,secondary,no,518,yes,no
588,36,self-employed,married,tertiary,no,16,yes,yes
589,41,blue-collar,married,secondary,no,-256,yes,no
590,43,blue-collar,married,secondary,no,105,no,yes
591,45,self-employed,married,tertiary,no,334,no,no
592,39,technician,married,secondary,no,1048,no,yes
593,41,services,married,secondary,no,108,yes,yes
594,31,technician,married,secondary,no,660,no,no
595,37,unemployed,single,tertiary,yes,0,yes,no
596,28,entrepreneur,married,unknown,no,1034,no,no
597,47,housemaid,married,primary,no,201,yes,no
598,37,housemaid,married,primary,no,189,no,no
599,60,retired,divorced,unknown,no,-49,yes,no
600,43,technician,divorced,secondary,no,1413,yes,no
